Agent_ID,Is_Alive,Trade_Count,Attack_Count,Ignore_Count,Num_Movements
1,True,5,10,14,4
2,False,1119,994,1051,2
3,False,525,528,532,1
4,False,1065,1052,1048,2
5,True,0,0,0,0
6,False,528,537,516,1
7,False,12,23,12,2
8,False,1065,1044,1066,2
9,False,1114,1001,1057,2
10,False,537,545,497,1
11,True,0,0,0,0
12,False,1035,1094,1044,2
13,False,1044,1052,1076,2
14,True,1,1,2,0
15,True,4,4,5,1
16,False,1107,1048,1018,2
17,True,0,0,0,0
18,False,14,14,7,1
19,False,1069,1049,1055,2
20,True,2,0,2,0
21,True,9,13,11,2
22,False,8,15,13,1
23,False,1085,1014,1068,2
24,False,1075,1092,1006,2
25,False,486,542,545,1
26,True,7,2,4,1
27,False,522,526,525,1
28,False,1060,1046,1063,1
29,False,1052,1044,1073,2
30,True,0,0,0,1
31,False,1017,1077,1075,1
32,False,1066,1034,1069,1
33,False,7,7,6,1
34,True,0,0,0,0
35,False,515,527,530,1
36,True,15,11,6,2
37,True,0,0,0,0
38,False,516,520,536,1
39,True,12,12,15,1
40,False,1085,1053,1033,2
41,False,1035,1099,1038,1
42,True,0,0,0,0
43,True,0,0,0,0
44,True,0,0,0,0
45,False,1071,1084,1018,1
46,False,1020,1080,1071,1
47,False,1063,1038,1072,1
48,False,1040,1083,1051,2
49,False,11,10,12,2
50,False,1065,1086,1020,1
51,True,4,4,2,1
52,True,0,0,0,0
53,False,997,1101,1075,2
54,True,14,13,11,2
55,False,8,11,10,2
56,False,6,8,3,1
57,True,0,0,0,0
58,False,498,533,530,1
59,False,15,16,12,2
60,False,18,16,17,1
61,True,0,0,0,0
62,True,2,7,3,1
63,False,1084,1005,1083,1
64,False,1119,1012,1041,2
65,False,1105,1025,1042,1
66,False,1056,1039,1077,1
67,True,0,0,0,0
68,True,0,0,0,0
69,True,0,0,0,1
70,True,0,0,0,0
71,False,1044,1058,1070,1
72,True,0,0,0,0
73,False,1044,1058,1070,1
74,False,1056,1039,1078,1
75,True,6,5,9,1
76,True,0,0,0,0
77,False,15,16,10,2
78,True,0,0,0,0
79,False,515,505,534,1
80,True,9,7,8,1
81,False,15,15,11,2
82,True,0,0,0,0
83,False,1079,1033,1062,1
84,False,1054,1033,1086,1
85,False,1057,1080,1036,1
86,True,0,0,0,0
87,False,508,498,545,1
88,False,505,538,508,1
89,False,1077,1057,1048,2
90,True,4,7,4,1
91,False,1073,1062,1040,1
92,True,0,0,0,0
93,False,5,8,6,1
94,False,9,8,8,1
95,False,1016,1110,1049,1
96,True,0,0,0,0
97,True,0,0,0,0
98,False,1092,1035,1062,1
99,False,545,483,519,1
100,False,1090,1075,1011,1
101,True,0,0,0,0
102,True,0,0,0,0
103,True,3,0,1,0
104,False,1068,1077,1032,1
105,True,2,1,1,0
106,False,1076,1028,1072,1
107,True,1,1,0,0
108,False,501,523,525,1
109,True,5,11,13,2
110,False,1045,1064,1068,1
111,False,1086,1058,1033,1
112,False,1073,1056,1053,2
113,True,4,6,4,1
114,True,0,0,0,0
115,False,1091,1026,1060,1
116,False,10,14,15,1
117,True,0,0,0,0
118,True,4,6,6,1
119,True,8,7,9,1
120,False,1080,1080,1017,1
121,True,0,0,0,0
122,True,15,9,19,1
123,True,0,0,0,0
124,False,1092,1041,1045,1
125,True,551,487,500,1
126,False,1083,1045,1056,2
127,False,17,14,14,2
128,False,1057,1044,1077,1
129,False,1080,1065,1035,1
130,False,1047,1075,1057,1
131,False,528,492,514,1
132,False,1022,1104,1053,1
133,False,7,10,19,2
134,True,0,0,0,0
135,False,1072,1043,1064,1
136,False,1089,1053,1037,1
137,True,0,0,0,0
138,True,11,11,12,1
139,True,0,0,0,0
140,False,489,566,476,1
141,True,0,0,0,0
142,False,529,506,498,1
143,True,15,12,9,1
144,True,1,1,2,0
145,False,1067,1029,1085,1
146,True,2,1,1,0
147,False,533,524,473,1
148,True,3,1,0,0
149,False,1059,1050,1073,1
150,True,0,0,0,0
151,True,0,0,0,0
152,True,9,6,6,2
153,True,0,3,1,0
154,True,505,516,508,1
155,False,1050,1059,1074,1
156,False,1081,1032,1071,1
157,True,0,0,0,0
158,False,1045,1019,1119,1
159,True,5,6,5,1
160,False,11,19,8,1
161,True,0,0,0,0
162,False,1131,1026,1034,2
163,True,0,0,0,0
164,False,502,478,545,1
165,True,0,0,0,0
166,False,495,519,511,1
167,True,16,10,14,1
168,True,10,9,3,1
169,True,7,6,4,1
170,True,0,0,0,0
171,False,1068,1057,1061,1
172,True,4,10,7,1
173,True,0,0,0,1
174,True,1,0,1,0
175,False,1070,1036,1079,2
176,False,1024,1090,1071,1
177,False,11,17,16,1
178,True,1,1,0,0
179,True,0,0,0,0
