Agent_ID,Is_Alive,Trade_Count,Attack_Count,Ignore_Count,Num_Movements
1,False,1145,1147,1120,3
2,False,1160,1104,1144,1
3,False,1121,1133,1155,2
4,False,6,16,8,1
5,True,0,0,0,2
6,True,0,0,0,0
7,False,1138,1121,1149,1
8,True,0,0,0,0
9,False,554,565,582,1
10,False,1121,1165,1126,2
11,False,1130,1133,1146,2
12,True,10,5,19,2
13,False,596,550,553,1
14,True,6,10,9,2
15,False,575,562,562,1
16,True,0,0,0,0
17,True,0,0,0,0
18,True,0,0,0,2
19,True,14,12,12,2
20,True,0,0,0,1
21,False,1101,1167,1143,2
22,False,3,9,8,1
23,False,548,579,574,1
24,True,1,1,0,0
25,True,8,12,19,1
26,False,1101,1169,1141,2
27,True,0,0,0,0
28,False,1129,1125,1161,2
29,False,590,551,555,1
30,False,594,543,559,1
31,False,1119,1135,1160,1
32,False,1143,1058,1213,1
33,False,1114,1144,1156,1
34,True,0,0,0,0
35,False,12,11,11,2
36,True,0,0,0,2
37,True,2,3,1,0
38,False,11,13,15,1
39,False,1150,1129,1136,2
40,True,0,0,0,0
41,True,4,8,2,1
42,True,0,0,0,0
43,False,8,13,13,2
44,True,10,12,10,2
45,True,2,2,4,0
46,False,1158,1144,1112,1
47,True,19,19,13,2
48,False,1126,1111,1178,1
49,True,0,0,0,0
50,True,9,6,10,2
51,True,582,546,564,1
52,True,0,0,0,0
53,False,1141,1133,1141,1
54,True,12,12,10,0
55,True,16,10,19,1
56,True,0,0,0,0
57,False,1133,1154,1128,1
58,False,1155,1098,1163,1
59,True,0,0,0,0
60,True,0,0,0,0
61,True,0,1,1,0
62,True,11,6,9,2
63,True,0,0,0,0
64,True,0,0,0,1
65,False,1133,1099,1183,1
66,True,0,0,0,0
67,True,0,0,0,0
68,False,568,580,538,1
69,True,6,6,8,1
70,False,576,552,558,1
71,True,1,0,1,0
72,True,0,0,0,2
73,False,526,585,575,1
74,True,7,7,8,1
75,False,1142,1119,1156,2
76,False,1121,1158,1139,1
77,False,1141,1164,1113,1
78,False,1151,1146,1123,2
79,True,0,0,0,0
80,False,1153,1156,1109,1
81,True,7,6,5,1
82,True,0,0,0,0
83,False,1160,1123,1135,1
84,False,1159,1147,1112,1
85,False,1118,1167,1133,1
86,True,0,0,0,0
87,False,8,14,14,2
88,True,0,0,0,0
89,True,0,0,0,0
90,False,594,539,545,1
91,True,10,10,16,1
92,True,545,579,557,1
93,False,1156,1160,1104,1
94,False,1115,1144,1161,1
95,True,0,0,0,0
96,True,0,0,0,0
97,False,1167,1105,1148,1
98,True,8,5,3,1
99,False,1159,1156,1099,1
100,False,556,574,544,1
101,False,1160,1134,1127,1
102,True,0,0,0,1
103,False,571,557,545,1
104,True,6,3,6,1
105,False,1116,1185,1121,1
106,False,1128,1121,1173,1
107,False,11,17,7,1
108,True,1,1,2,1
109,False,1119,1149,1148,1
110,False,12,11,12,2
111,False,581,545,544,1
112,True,8,1,8,2
113,True,0,0,0,0
114,False,20,17,18,2
115,False,1163,1119,1141,1
116,True,576,553,543,1
117,False,1206,1140,1078,1
118,False,1117,1137,1170,1
119,True,0,0,0,0
120,False,1179,1144,1101,1
121,False,1116,1169,1139,1
122,True,6,4,5,1
123,False,1135,1186,1103,1
124,False,559,533,572,1
125,False,1142,1120,1163,1
126,False,1066,1168,1192,1
127,False,1116,1156,1153,1
128,True,1,1,2,2
129,True,569,543,551,1
130,True,0,0,0,0
131,False,1191,1113,1123,1
132,True,11,5,7,2
133,True,9,12,17,1
134,True,0,0,0,0
135,True,5,4,10,1
136,False,1221,1119,1086,1
137,False,1131,1133,1162,1
138,True,0,0,0,0
139,False,1108,1142,1177,1
140,False,1098,1187,1141,1
141,False,552,543,561,1
142,False,1147,1119,1161,1
143,False,1156,1120,1151,1
144,False,1131,1128,1168,1
145,True,0,0,0,0
146,False,1097,1162,1168,1
147,False,1132,1143,1152,1
148,False,526,570,560,1
149,False,1114,1160,1154,1
150,False,1130,1151,1147,1
151,True,9,1,2,0
152,False,542,533,574,1
153,True,15,7,19,2
154,False,1168,1109,1152,1
155,False,1140,1159,1130,1
156,False,1139,1162,1128,2
157,False,1123,1130,1177,2
158,False,1161,1128,1140,1
159,False,1206,1125,1098,1
160,True,9,12,13,2
161,True,533,592,518,1
162,True,0,0,0,0
163,False,1076,1183,1171,1
164,True,13,6,5,1
165,False,1139,1109,1183,1
166,False,1141,1137,1152,1
167,False,1180,1108,1142,1
168,True,0,0,0,0
169,True,0,0,0,1
170,False,536,561,542,1
171,False,13,10,10,1
172,True,15,9,15,2
173,False,9,14,18,2
174,True,549,548,545,1
175,False,15,13,15,1
176,False,1155,1151,1126,1
177,True,11,7,13,2
178,True,1,0,1,0
179,True,0,0,0,0
180,True,0,0,0,0
181,True,527,547,564,1
182,False,6,5,7,1
183,False,1137,1161,1135,1
184,True,16,13,13,1
185,True,0,0,0,0
186,False,557,530,550,1
187,False,7,8,7,1
188,False,1121,1150,1163,1
189,True,1,0,1,0
190,False,1167,1143,1124,1
191,False,1169,1074,1191,1
192,True,0,1,1,0
193,True,0,0,0,0
194,True,545,542,547,1
195,True,15,10,17,1
196,False,1134,1151,1151,1
197,True,0,0,0,0
198,True,0,0,0,0
199,False,13,13,11,2
200,True,17,13,17,2
201,False,1114,1156,1165,1
202,True,0,0,0,0
